이름,키,몸무게
하마,146,116
사나,199,76
나카,165,59
자자,191,56
다타,159,64
라파,153,42
하라,180,116
사마,185,56
가아,150,80
사나,187,97
아자,160,88
사아,141,63
차하,189,96
카나,181,102
카자,142,90
라아,174,45
나파,174,102
마아,179,68
사자,174,78
사아,162,61
사바,180,113
자아,188,103
사다,174,52
바가,144,67
하마,195,107
차카,157,57
바라,162,96
아마,188,105
카사,192,95
나다,169,74
나사,147,41
가카,185,60
타카,194,69
사아,174,103
파나,183,118
마라,161,42
마차,198,73
타바,174,68
차다,168,42
차다,179,113
자다,168,85
하바,181,50
사다,142,72
아사,170,77
자하,196,63
마차,179,63
하바,188,93
자자,197,61
나아,158,51
파아,164,75
사하,199,90
카타,161,88
사자,171,113
타라,185,96
하하,181,77
다타,168,40
다카,178,95
가타,191,82
바파,169,81
타하,199,82
마마,155,75
파파,171,111
나가,182,49
다다,160,53
타라,183,64
라자,170,47
타마,184,67
카라,176,100
사카,185,110
바마,186,100
마나,197,114
라라,155,98
자라,169,64
차하,163,80
차파,183,59
라마,159,104
라마,189,49
하파,176,65
카아,192,93
가아,152,118
하라,169,98
사파,184,89
타차,159,60
바하,185,118
가파,146,113
가하,178,103
카아,195,58
마아,145,117
사마,172,53
자마,175,47
다나,157,62
다차,168,52
라나,190,115
바마,162,52
카나,159,110
사다,164,49
라하,141,78
나다,153,112
가타,174,111
타파,155,93
카아,183,69
나타,189,115
아사,168,97
마카,149,42
타파,148,82
사타,166,62
바사,140,58
아사,180,85
자타,171,94
타자,186,89
파다,152,74
하타,157,110
가사,167,72
가아,141,98
카하,187,97
카하,198,63
타아,178,85
카가,145,83
아아,197,84
다마,191,101
자파,176,99
카바,199,99
바하,192,64
다타,151,56
파가,164,111
나나,181,80
파차,179,105
아아,181,89
가다,170,78
사파,188,113
나차,161,72
마라,145,61
바사,151,61
파가,143,90
아라,158,58
나사,181,97
다다,160,65
하파,148,44
라바,163,46
라아,164,70
타가,153,57
자아,155,114
하파,156,73
다자,153,108
하라,177,59
하마,174,44
나아,140,100
다다,152,105
가라,166,81
차타,145,102
사카,196,92
가타,172,103
카카,155,109
라하,146,98
바자,159,62
타라,143,45
파차,170,72
마카,155,70
파가,155,86
바자,181,68
타타,188,63
가하,148,80
파나,149,94
나마,146,74
사사,144,71
아라,169,119
파차,190,108
자자,162,103
차나,190,45
나다,145,75
마파,150,51
카자,157,112
타가,177,49
바사,180,67
차카,163,78
아하,188,78
파바,183,81
타가,161,54
나다,175,102
마나,199,68
차라,196,66
가사,168,40
하마,186,57
마마,166,80
자다,182,118
라파,158,118
마자,151,89
아가,177,77
가바,194,92
바라,163,62
라타,157,72
가사,143,107
차타,195,42
타나,155,103
다타,152,63
파카,167,53
라사,148,112
카하,140,102
차라,146,41
가가,144,73
사가,150,117
아나,194,61
나마,156,90
타다,165,61
라사,158,95
마사,183,52
타차,174,118
파라,142,75
자라,154,97
사타,162,94
차사,197,68
바사,179,108
카차,192,57
가다,185,64
자마,184,101
차마,151,94
아파,185,116
파아,195,107
차아,151,70
차타,149,40
카하,188,110
아차,197,119
마자,167,73
바사,167,57
자마,185,90
차차,142,118
나자,158,63
파타,193,91
나라,172,98
타차,164,88
파카,157,74
가바,191,95
자바,160,46
아하,162,84
카파,198,103
자마,172,61
타마,151,118
파마,192,67
타사,150,69
다바,195,62
파파,160,75
아나,168,73
카다,143,83
타카,152,96
타아,178,109
가차,195,55
바자,168,78
자타,159,41
타나,169,81
가나,150,95
다가,150,54
마타,174,94
다라,162,113
파카,182,74
바나,193,47
가다,177,109
마나,188,50
하아,194,66
아다,150,97
아차,189,53
차라,151,70
자다,174,82
가타,174,52
바타,184,60
라자,144,110
마나,166,52
타타,199,60
카아,177,64
마아,140,77
라라,172,76
자자,174,68
라하,161,105
사마,172,99
타자,166,110
다나,165,91
다하,196,94
자아,150,57
파가,175,75
마나,173,111
사파,181,66
라사,155,115
가사,181,97
바다,182,79
하사,182,71
하자,140,81
타하,188,84
마가,141,109
나하,140,76
사라,169,71
다라,143,83
라라,171,95
나마,187,85
아자,180,117
차나,180,41
타나,179,118
바나,163,78
자파,148,54
하사,160,107
타마,188,71
카타,155,85
나라,182,73
마사,191,111
하파,173,60
카사,188,119
라자,194,91
파마,165,88
라라,158,111
타카,163,62
카가,187,110
아아,169,100
아마,144,109
바바,165,101
가하,177,69
아타,180,84
아아,171,91
라나,160,77
카다,199,51
다카,155,75
마바,184,80
다하,155,72
라바,145,87
카하,160,86
아나,190,101
하라,172,78
하다,147,64
타나,150,59
파카,173,87
바바,196,100
바바,174,65
타타,193,92
자아,164,115
자타,141,41
자하,163,48
타카,141,109
사사,146,78
다마,172,76
타다,171,51
사다,140,64
나아,173,113
자아,181,83
라차,162,62
바차,187,73
하나,199,41
타하,148,101
파라,189,46
마카,174,69
파파,144,80
차나,160,45
나바,189,66
하하,154,69
바라,170,54
카마,173,60
다마,164,111
카카,151,113
차자,194,49
카아,167,84
파바,191,65
사다,154,48
타가,151,73
자자,144,108
마타,174,118
다타,154,110
차사,144,84
아파,150,66
하다,140,56
다타,187,69
파차,140,61
하아,150,97
마아,155,47
마마,165,118
아카,170,101
나차,161,75
아자,167,46
카자,196,115
가파,161,60
카가,174,54
아하,150,71
다다,166,83
라하,179,41
하자,149,119
라다,157,85
마나,167,55
다카,183,90
자차,164,53
가사,176,112
카사,180,48
사바,155,71
가타,160,95
마아,157,87
다다,177,70
타카,177,105
마차,195,88
자카,186,106
다카,180,111
카아,170,74
타파,149,72
사바,155,75
나사,170,65
아가,177,84
사라,159,46
다타,150,64
카하,167,61
라다,156,85
가차,158,118
하마,179,79
아라,169,112
하가,153,114
파라,183,82
파사,155,100
카사,177,116
나파,161,67
카라,179,52
자아,171,99
사다,175,83
카라,160,97
사자,164,95
마마,168,94
바차,180,40
파다,154,59
가다,168,49
가파,166,50
사아,186,79
하사,183,57
파라,196,72
타마,147,87
타타,145,71
나마,143,48
하라,197,102
가사,197,53
사마,158,92
타나,187,85
마마,146,73
차바,181,102
파바,181,64
라자,168,68
다타,172,94
사하,186,112
파사,171,53
카마,174,84
카자,195,72
카나,144,66
카아,189,92
자하,159,116
다나,196,69
카바,173,92
라파,188,111
가파,166,82
마사,171,61
라바,161,89
카자,165,41
자타,143,118
가가,182,76
차바,170,110
파타,199,70
파파,188,82
라카,166,43
마아,187,75
하다,185,111
타나,171,100
바마,183,56
다마,154,43
사가,148,75
사나,149,46
다다,168,103
가다,187,100
카바,188,84
사나,159,65
가파,166,49
카가,173,65
자가,175,70
바나,193,99
바차,177,45
사하,157,51
카카,167,106
타다,195,112
타나,198,49
마타,165,67
차마,182,48
나자,156,114
다파,162,116
다차,194,41
라파,178,52
카타,156,91
바라,151,104
카다,165,104
차아,195,77
가사,170,58
하사,187,67
타가,168,100
다파,146,49
나라,181,42
라타,182,99
아사,164,117
카사,192,60
타나,142,116
다파,171,61
아마,194,48
자하,160,119
카차,188,112
타아,175,100
라자,157,89
라가,189,57
마나,162,57
라하,196,85
하사,180,93
마마,146,77
자마,192,93
자차,170,110
카마,173,49
가나,168,107
하파,170,42
자아,181,108
파아,145,59
바다,199,108
라마,194,101
자나,169,64
아라,190,57
하파,196,41
마사,165,103
마하,188,94
사나,146,106
다차,160,71
바라,141,53
라카,176,96
차가,166,56
바나,146,70
차파,197,53
라카,147,67
자마,141,65
다바,171,115
자가,168,43
파가,168,94
사차,142,87
라사,152,43
아자,184,99
라바,146,60
라하,143,66
차다,181,90
바다,162,69
파마,161,119
